"","run","samples","edays","egord","xseed","yseed","degord","nobjects","dev","type","k"
"232",7,16,27.6525,1.20538595373391,32.3000181685126,39.3415617713076,2.16666666666667,1,0.961280712932756,"IXT",2.5
"233",8,10,27.6525,0.753366221083694,26.0109582638791,37.5087660421148,2.16666666666667,1,1.41330044558297,"IXT",2.5
"234",9,15,27.6525,1.13004933162554,28.6475629485621,44.5513079205497,2.16666666666667,1,1.03661733504112,"IXT",2.5
"235",10,109,27.6525,8.21169180981227,11.3484490129173,54.4206451751354,2.16666666666667,1,-6.0450251431456,"IXT",2.5
"236",11,73,27.6525,5.49957341391097,54.75542769356,20.1483060873201,2.16666666666667,1,-3.3329067472443,"IXT",2.5
"237",12,68,27.6525,5.12289030336912,51.3596463006098,22.766871184351,2.16666666666667,1,-2.95622363670246,"IXT",2.5
"238",13,79,27.6525,5.95159314656119,53.5407537624369,23.0750462204506,2.16666666666667,1,-3.78492647989452,"IXT",2.5
"239",14,25,27.6525,1.88341555270924,30.1137064309321,42.2178372358673,2.16666666666667,1,0.283251113957431,"IXT",2.5
"240",15,107,27.6525,8.06101856559553,10.0250119935015,16.9390553586925,2.16666666666667,1,-5.89435189892886,"IXT",2.5
"241",1,62,27.6525,4.67087057071891,34.021121013718,36.0627080211918,2.16666666666667,1,-2.50420390405224,"IXT",5
"242",2,61,27.6525,4.59553394861054,11.503008613703,15.2153190531537,2.16666666666667,1,-2.42886728194387,"IXT",5
"243",3,73,27.6525,5.49957341391097,52.1184104273962,11.2939575489679,2.16666666666667,1,-3.3329067472443,"IXT",5
"244",4,32,27.6525,2.41077190746782,36.6888675513467,13.5946105535918,2.16666666666667,1,-0.244105240801155,"IXT",5
"245",5,71,27.6525,5.34890016969423,36.8311561044011,40.0303675463865,2.16666666666667,1,-3.18223350302756,"IXT",5
"246",6,91,27.6525,6.85563261186162,37.5884403814213,40.7935045648788,2.16666666666667,1,-4.68896594519495,"IXT",5
"247",7,8,27.6525,0.602692976866955,22.0079265516121,26.8212896338645,2.16666666666667,1,1.56397368979971,"IXT",5
"248",8,69,27.6525,5.19822692547749,31.4886059450656,46.8194575196275,2.16666666666667,1,-3.03156025881082,"IXT",5
"249",9,66,27.6525,4.97221705915238,38.6868407487517,37.7443593459368,2.16666666666667,1,-2.80555039248572,"IXT",5
